"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"204","Simi Fehoko (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"206","Mason Tipton (NO)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"207","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"208","Jermaine Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"209","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"210","Luther Burden III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.0%"
"211","Elic Ayomanor (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"212","Xavier Restrepo (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"213","Qadir Ismail (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"214","Casey Washington (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Jalen Royals (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"216","Travis Hunter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.1%"
"217","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Tory Horton (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"220","Matthew Golden (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.1%"
"221","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Isaiah Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"223","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"225","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Bub Means (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"228","Tre' Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.9%"
"229","Jayden Higgins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64.0%"
"230","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Coleman Owen (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"232","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"233","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"234","Dontae Fleming (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"235","Ke'Shawn Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"236","Tru Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"237","Jordan Moore (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"238","Junior Bergen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","JP Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"240","Stephen Gosnell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"241","Courtney Jackson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"242","Luke Grimm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"243","Brennan Presley (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"244","Jordan Watkins (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"245","Dalevon Campbell (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"246","Jeremiah Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"247","Tyrone Broden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"248","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"249","Jahdae Walker (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
