rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
413,Geoff Swaim,33.3,Sun,6,6,2023-10-15,30-029,ARI,@,LAR,L 9-26,15,19.7,0,0,9,33.3,TE,SwaiGe00
414,Mo Alie-Cox,12.9,Sun,6,6,2023-10-15,30-026,IND,@,JAX,L 20-37,8,10.3,0,0,4,12.9,TE,AlieMo00
437,Byron Pringle,50,Sun,6,6,2023-10-15,29-332,WAS,@,ATL,W 24-16,4,7.8,0,0,12,50,WR,PrinBy00
469,Tyreek Hill,3.3,Sun,6,6,2023-10-15,29-228,MIA,NA,CAR,W 42-21,38,56.7,0,0,1,3.3,WR,HillTy00
523,Dwayne Washington,71.4,Thu,6,6,2023-10-12,29-171,DEN,@,KAN,L 8-19,0,0,0,0,15,71.4,RB,WashDw00
525,Trent Taylor,23.1,Sun,6,6,2023-10-15,29-168,CHI,NA,MIN,L 13-19,2,3,0,0,6,23.1,WR,TaylTr02
526,Robert Tonyan,46.2,Sun,6,6,2023-10-15,29-168,CHI,NA,MIN,L 13-19,16,24.2,0,0,12,46.2,TE,TonyRo00
529,Pharaoh Brown,56,Sun,6,6,2023-10-15,29-164,NWE,@,LVR,L 17-21,19,31.7,0,0,14,56,TE,BrowPh01
547,Patrick Ricard,22.6,Sun,6,6,2023-10-15,29-141,BAL,@,TEN,W 24-16,23,32.4,0,0,7,22.6,FB,RicaPa00
580,Kalif Raymond,24,Sun,6,6,2023-10-15,29-068,DET,@,TAM,W 20-6,15,21.4,0,0,6,24,WR,RaymKa00
591,Evan Engram,6.5,Sun,6,6,2023-10-15,29-043,JAX,NA,IND,W 37-20,48,75,0,0,2,6.5,TE,EngrEv00
604,Demarcus Robinson,25.9,Sun,6,6,2023-10-15,29-024,LAR,NA,ARI,W 26-9,0,0,0,0,7,25.9,WR,RobiDe01
658,Darrell Daniels,88,Sun,6,6,2023-10-15,28-327,DET,@,TAM,W 20-6,2,2.9,0,0,22,88,TE,DaniDa02
660,Johnny Mundt,53.8,Sun,6,6,2023-10-15,28-326,MIN,@,CHI,W 19-13,7,12.3,0,0,14,53.8,TE,MundJo00
679,Devon Allen,54.5,Sun,6,6,2023-10-15,28-307,PHI,@,NYJ,L 14-20,0,0,0,0,12,54.5,WR,AlleDe02
683,Jakob Johnson,40,Sun,6,6,2023-10-15,28-304,LVR,NA,NWE,W 21-17,17,24.3,0,0,10,40,FB,JohnJa12
685,Zach Pascal,63,Sun,6,6,2023-10-15,28-301,ARI,@,LAR,L 9-26,11,14.5,0,0,17,63,WR,PascZa00
